case_id,path,noise_std,slice_count,sampling_strategy,input_delta_rms_known,output_delta_mae_all,output_delta_rmse_all,output_delta_psnr_all,output_delta_ssim_all,output_delta_mae_known,output_delta_rmse_known,output_delta_psnr_known,output_delta_ssim_known,output_delta_mae_missing,output_delta_rmse_missing,output_delta_psnr_missing,output_delta_ssim_missing,stability_ratio_all,stability_ratio_missing
liver_101,liver_101.nii.gz,0.01,64,fibonacci,0.0075780488550662994,0.0031569197308272123,0.0062522259540855885,44.079307556152344,0.8529514074325562,0.004586189053952694,0.0075780488550662994,42.408851623535156,0.8450629711151123,0.00018143579654861242,0.0009576024604029953,60.37629699707031,0.8693737387657166,0.8250442922264439,0.12636530572942808
liver_101,liver_101.nii.gz,0.02,64,fibonacci,0.015178307890892029,0.006325006950646639,0.012524958699941635,38.04447555541992,0.7123898267745972,0.009186528623104095,0.015178307890892029,36.37553405761719,0.6818721294403076,0.0003678290522657335,0.0019614803604781628,54.14832305908203,0.7759221792221069,0.8251880769566826,0.12922918513566184
liver_23,liver_23.nii.gz,0.005,64,fibonacci,0.0037112231366336346,0.0014949931064620614,0.003053809516131878,50.303157806396484,0.8923823833465576,0.0021971031092107296,0.0037112233694642782,48.609657287597656,0.8919904232025146,4.00962853746023e-05,0.00033150604576803744,69.59017181396484,0.8931946754455566,0.8228579645313158,0.08932527998538481
liver_23,liver_23.nii.gz,0.01,64,fibonacci,0.00742384884506464,0.0029894958715885878,0.0061084614135324955,44.28136444091797,0.8417805433273315,0.004393992479890585,0.00742384884506464,42.58741760253906,0.8311814665794373,7.91282145655714e-05,0.0006542401970364153,63.68525695800781,0.8637439608573914,0.8228159733604206,0.08812682082978467
liver_23,liver_23.nii.gz,0.02,64,fibonacci,0.014810632914304733,0.005966882687062025,0.012186870910227299,38.28215789794922,0.6907731890678406,0.008769038133323193,0.014810632914304733,36.58852767944336,0.6541646718978882,0.00016031590348575264,0.0013179212110117078,57.602210998535156,0.7666327357292175,0.8228460580139493,0.08898480022003678
liver_25,liver_25.nii.gz,0.005,64,fibonacci,0.0037453032564371824,0.0015227554831653833,0.0030775282066315413,50.235958099365234,0.8958156704902649,0.002237010048702359,0.0037453030236065388,48.53025817871094,0.8959060311317444,6.626865069847554e-05,0.0004248420591466129,67.4354476928711,0.8956314921379089,0.8217033430716423,0.11343328698855616
liver_25,liver_25.nii.gz,0.01,64,fibonacci,0.007490579038858414,0.00304604833945632,0.006155438721179962,44.214820861816406,0.8470707535743713,0.0044734543189406395,0.007490579504519701,42.50968933105469,0.8372064232826233,0.00013532399316318333,0.0008585110772401094,61.32508087158203,0.8671857714653015,0.8217573954226733,0.11461211113139112
liver_25,liver_25.nii.gz,0.02,64,fibonacci,0.01496131531894207,0.006083985324949026,0.012293364852666855,38.20658493041992,0.7004985809326172,0.008938687853515148,0.014961316250264645,36.50060272216797,0.6650221943855286,0.00026276244898326695,0.0016882786294445395,55.45111846923828,0.7728410363197327,0.8216767436952951,0.11284292814195694
liver_39,liver_39.nii.gz,0.005,64,fibonacci,0.0037304253783077,0.0015212639700621367,0.0030773752368986607,50.236392974853516,0.8946589231491089,0.0022179747465997934,0.0037304251454770565,48.56483459472656,0.8943758606910706,6.41479782643728e-05,0.0004148854350205511,67.64143371582031,0.8952507972717285,0.824939497461468,0.11121665572861908
liver_39,liver_39.nii.gz,0.01,64,fibonacci,0.007449316792190075,0.0030379402451217175,0.006145067512989044,44.22946548461914,0.8450084924697876,0.004429479129612446,0.007449317257851362,42.55767059326172,0.8348343968391418,0.0001276465627597645,0.000824599526822567,61.675140380859375,0.8662866353988647,0.8249169265336632,0.1106946515802743
