case_id,path,noise_std,slice_count,sampling_strategy,known_fraction,realized_input_delta_rms_known,mae_all,rmse_all,psnr_all,ssim_all,mae_known,rmse_known,psnr_known,ssim_known,mae_missing,rmse_missing,psnr_missing,ssim_missing
liver_58,liver_58.nii.gz,0.02,64,fibonacci,0.6692333221435547,0.014387741684913635,0.0055922046303749084,0.012022661045193672,38.399986267089844,0.6730714440345764,0.008263077586889267,0.014387741684913635,36.84014892578125,0.6289105415344238,0.00018828366592060775,0.004262020345777273,47.40768814086914,0.7624213695526123
liver_58,liver_58.nii.gz,0.05,64,fibonacci,0.6692333221435547,0.035970427095890045,0.013902135193347931,0.029532449319958687,30.594009399414062,0.29820528626441956,0.02067289687693119,0.03597042337059975,28.88109016418457,0.22585679590702057,0.0002029919996857643,0.004351702518761158,47.22681427001953,0.44458645582199097
liver_21,liver_21.nii.gz,0.0,64,fibonacci,0.670475959777832,0.0,0.000273226760327816,0.004922077059745789,46.15703201293945,0.9096315503120422,2.973841173314895e-10,1.0000051133829402e-06,119.99995422363281,0.9133139848709106,0.0008291551494039595,0.008574421517550945,41.33590316772461,0.9021393656730652
liver_21,liver_21.nii.gz,0.01,64,fibonacci,0.670475959777832,0.007424305193126202,0.003226109314709902,0.007806205190718174,42.15119934082031,0.8420488834381104,0.004407975357025862,0.007424304727464914,42.586883544921875,0.8315598368644714,0.0008213894325308502,0.008530628867447376,41.3803825378418,0.8633906245231628
liver_21,liver_21.nii.gz,0.02,64,fibonacci,0.670475959777832,0.014893156476318836,0.006197309121489525,0.013133013620972633,37.63270950317383,0.6929928660392761,0.008839482441544533,0.014893156476318836,36.54026412963867,0.6561912894248962,0.000821331050246954,0.00849147979170084,41.42033004760742,0.7678723335266113
liver_21,liver_21.nii.gz,0.05,64,fibonacci,0.670475959777832,0.03708190470933914,0.015032704919576645,0.030778856948018074,30.234949111938477,0.33126237988471985,0.021983498707413673,0.03708190843462944,28.616756439208984,0.2691435217857361,0.0008900716784410179,0.008777514100074768,41.132568359375,0.4576544761657715
liver_127,liver_127.nii.gz,0.0,64,fibonacci,0.6765017509460449,0.0,0.00033278437331318855,0.0050139594823122025,45.99638366699219,0.911392092704773,3.53967688493384e-10,1.000006022877642e-06,119.99993896484375,0.915335476398468,0.0010287045734003186,0.008815457113087177,41.0951042175293,0.9031460881233215
liver_127,liver_127.nii.gz,0.01,64,fibonacci,0.6765017509460449,0.007514295633882284,0.0033774825278669596,0.007940992712974548,42.00250244140625,0.8448423743247986,0.004506491590291262,0.007514295633882284,42.48223114013672,0.8357126712799072,0.0010164908599108458,0.00876643043011427,41.14354705810547,0.8639344573020935
liver_127,liver_127.nii.gz,0.02,64,fibonacci,0.6765017509460449,0.015013618394732475,0.0064146253280341625,0.013320736587047577,37.50943374633789,0.6984981298446655,0.008995601907372475,0.015013620257377625,36.47029113769531,0.6652427911758423,0.0010172697948291898,0.00878257118165493,41.127567291259766,0.7680420875549316
liver_127,liver_127.nii.gz,0.05,64,fibonacci,0.6765017509460449,0.03750912845134735,0.015550983138382435,0.03128907456994057,30.092145919799805,0.33808013796806335,0.022466003894805908,0.03750912845134735,28.517261505126953,0.2820040285587311,0.0010902496287599206,0.009171654470264912,40.75104522705078,0.45534685254096985
liver_75,liver_75.nii.gz,0.0,64,fibonacci,0.6739368438720703,0.0,2.9672202799702063e-05,0.0015603762585669756,56.13541030883789,0.9035446047782898,9.324309380165374e-11,1.000001930151484e-06,119.99998474121094,0.9048674702644348,9.100119495997205e-05,0.002732614753767848,51.268428802490234,0.900810956954956
liver_75,liver_75.nii.gz,0.01,64,fibonacci,0.6739368438720703,0.007140763103961945,0.002776196924969554,0.006064383313059807,44.344268798828125,0.82828688621521,0.004075948148965836,0.007140764035284519,42.925106048583984,0.8131880164146423,8.975280070444569e-05,0.00272000883705914,51.30859375,0.8594946265220642
liver_75,liver_75.nii.gz,0.02,64,fibonacci,0.6739368438720703,0.014298458583652973,0.005523690953850746,0.011840582825243473,38.53253936767578,0.6654964089393616,0.00815262459218502,0.014298459514975548,36.89421463012695,0.6203641295433044,8.997457916848361e-05,0.00272192619740963,51.30247116088867,0.7587798237800598
liver_75,liver_75.nii.gz,0.05,64,fibonacci,0.6739368438720703,0.03572292998433113,0.013763656839728355,0.02937234193086624,30.6412296295166,0.2861769497394562,0.0203732717782259,0.03572292998433113,28.941059112548828,0.21378599107265472,0.00010230758198304102,0.002880175830796361,50.81161880493164,0.4358011484146118
liver_86,liver_86.nii.gz,0.0,64,fibonacci,0.6775059700012207,0.0,0.0004511564038693905,0.00602608360350132,44.399295806884766,0.9116290211677551,3.524373570762407e-10,1.000006022877642e-06,119.99993896484375,0.915787935256958,0.0013989597791805863,0.010611440055072308,39.48451232910156,0.9028921723365784
liver_86,liver_86.nii.gz,0.01,64,fibonacci,0.6775059700012207,0.007529709488153458,0.003514358540996909,0.008616570383310318,41.293312072753906,0.8464789986610413,0.004527355544269085,0.007529708556830883,42.464439392089844,0.8379584550857544,0.0013862218474969268,0.010540983639657497,39.54237747192383,0.864379346370697
liver_86,liver_86.nii.gz,0.02,64,fibonacci,0.6775059700012207,0.015069136396050453,0.0065887379460036755,0.013776490464806557,37.217227935791016,0.7027968168258667,0.009063906967639923,0.015069134533405304,36.438232421875,0.6711906790733337,0.0013888244284316897,0.010557347908616066,39.52890396118164,0.769196093082428
liver_86,liver_86.nii.gz,0.05,64,fibonacci,0.6775059700012207,0.03765265271067619,0.0158062931150198,0.03159647062420845,30.00722885131836,0.34900879859924316,0.022636841982603073,0.03765265271067619,28.484088897705078,0.2961558401584625,0.001456450903788209,0.010829540900886059,39.30780029296875,0.4600438177585602
liver_7,liver_7.nii.gz,0.0,64,fibonacci,0.6697335243225098,0.0,0.00037214759504422545,0.00560116907581687,45.034427642822266,0.91084885597229,3.0923824612116846e-10,1.0000053407566156e-06,119.99995422363281,0.915117084980011,0.001126809511333704,0.009746449068188667,40.22307586669922,0.9021939039230347
liver_7,liver_7.nii.gz,0.01,64,fibonacci,0.6697335243225098,0.007516512647271156,0.003390546189621091,0.008309484459459782,41.6085205078125,0.8455097675323486,0.004509396851062775,0.007516512181609869,42.479671478271484,0.8363465666770935,0.0011216766433790326,0.009720919653773308,40.245853424072266,0.8640913963317871
liver_7,liver_7.nii.gz,0.02,64,fibonacci,0.6697335243225098,0.015004895627498627,0.006394580937922001,0.013484232127666473,37.40347671508789,0.7021482586860657,0.008994065225124359,0.015004895627498627,36.475341796875,0.6681276559829712,0.0011231988901272416,0.009693960659205914,40.26997375488281,0.7711370587348938
liver_7,liver_7.nii.gz,0.05,64,fibonacci,0.6697335243225098,0.03755402937531471,0.015477489680051804,0.031276885420084,30.095529556274414,0.34387296438217163,0.022513041272759438,0.03755402937531471,28.50687026977539,0.28535905480384827,0.0012103829067200422,0.010103653185069561,39.910430908203125,0.4625309407711029
liver_60,liver_60.nii.gz,0.0,64,fibonacci,0.6711230278015137,0.0,0.00010194283095188439,0.0031732895877212286,49.96980667114258,0.9057128429412842,1.5821258192438847e-10,1.0000029533330235e-06,119.99996948242188,0.907837450504303,0.000309972238028422,0.005533411167562008,45.14014434814453,0.9013777375221252
liver_60,liver_60.nii.gz,0.01,64,fibonacci,0.6711230278015137,0.007246166467666626,0.0029107846785336733,0.006730105262249708,43.4395637512207,0.8332947492599487,0.0041859885677695274,0.007246166002005339,42.79783248901367,0.8197049498558044,0.0003085384960286319,0.005529549904167652,45.146202087402344,0.8610270023345947
liver_60,liver_60.nii.gz,0.02,64,fibonacci,0.6711230278015137,0.014482642523944378,0.005714596249163151,0.012281433679163456,38.21501922607422,0.6761361360549927,0.008363687433302402,0.014482641592621803,36.783042907714844,0.6337454915046692,0.00030872461502440274,0.005532830487936735,45.14105224609375,0.7626405358314514
liver_60,liver_60.nii.gz,0.05,64,fibonacci,0.6711230278015137,0.03614986315369606,0.014123361557722092,0.029795538634061813,30.51697540283203,0.30413618683815,0.0208820179104805,0.03614986315369606,28.837867736816406,0.23458130657672882,0.00033130618976429105,0.005715160630643368,44.859432220458984,0.446073442697525
liver_101,liver_101.nii.gz,0.0,64,fibonacci,0.6755166053771973,0.0,0.0006438946584239602,0.007766703609377146,42.19526672363281,0.9118858575820923,3.834188799789473e-10,1.000006818685506e-06,119.99993896484375,0.9165520071983337,0.001984367845579982,0.013634540140628815,37.30718994140625,0.9021723866462708
liver_101,liver_101.nii.gz,0.01,64,fibonacci,0.6755166053771973,0.007586743216961622,0.003740021726116538,0.009917519055306911,40.07194137573242,0.8483880758285522,0.004590942990034819,0.0075867450796067715,42.39889144897461,0.8407389521598816,0.0019685551524162292,0.013538551516830921,37.368553161621094,0.8643121123313904
liver_101,liver_101.nii.gz,0.02,64,fibonacci,0.6755166053771973,0.015161418356001377,0.006834762170910835,0.014658835716545582,36.67801284790039,0.7085275650024414,0.009170771576464176,0.015161418356001377,36.38520050048828,0.6784005761146545,0.001971607794985175,0.013552891090512276,37.35935974121094,0.771246612071991
liver_101,liver_101.nii.gz,0.05,64,fibonacci,0.6755166053771973,0.037873052060604095,0.016145121306180954,0.03212127834558487,29.86414337158203,0.36068832874298096,0.02291264757514,0.037873052060604095,28.433395385742188,0.3101441562175751,0.002056337660178542,0.01391589641571045,37.12977600097656,0.4659123420715332
liver_23,liver_23.nii.gz,0.0,64,fibonacci,0.6744980812072754,0.0,0.00019919208716601133,0.004048516508191824,47.85408020019531,0.9095789790153503,2.8791358186452953e-10,1.0000049996961025e-06,119.99995422363281,0.9130334258079529,0.0006119530298747122,0.007096089888364077,42.979618072509766,0.9024209976196289
liver_23,liver_23.nii.gz,0.01,64,fibonacci,0.6744980812072754,0.007413903716951609,0.0031562040094286203,0.007296257186681032,42.737998962402344,0.8408708572387695,0.004387409891933203,0.007413904182612896,42.59906005859375,0.8302527070045471,0.0006049256189726293,0.007046221289783716,43.04087829589844,0.8628736138343811
