case_id,path,slice_count,repeat_index,geometry_seed,known_fraction,mae_all,rmse_all,psnr_all,ssim_all,mae_known,rmse_known,psnr_known,ssim_known,mae_missing,rmse_missing,psnr_missing,ssim_missing
liver_101,liver_101.nii.gz,32,4,701097057,0.41386938095092773,0.002423051977530122,0.01864045113325119,34.59086990356445,0.8948699235916138,1.828980022988702e-10,1.0000029533330235e-06,119.99996948242188,0.9089000821113586,0.004133979324251413,0.02434777095913887,32.270816802978516,0.8849634528160095
liver_101,liver_101.nii.gz,32,5,1420823976,0.4070415496826172,0.002373858354985714,0.017706001177430153,35.03759002685547,0.8952975869178772,2.087934408701031e-10,1.0000034080803744e-06,119.99996948242188,0.9093126654624939,0.0040034144185483456,0.022993674501776695,32.7678337097168,0.8856770396232605
liver_101,liver_101.nii.gz,32,6,3333326830,0.44163942337036133,0.0018267803825438023,0.013926097191870213,37.123409271240234,0.9011082649230957,1.6599883967405304e-10,1.0000026122725103e-06,119.99998474121094,0.9104071259498596,0.003271685913205147,0.018636830151081085,34.592559814453125,0.8937534689903259
liver_101,liver_101.nii.gz,32,7,1193398038,0.43175315856933594,0.002306917682290077,0.01886053942143917,34.48891830444336,0.8964661955833435,1.7207477109870695e-10,1.000002725959348e-06,119.99996948242188,0.9092444181442261,0.004059710074216127,0.025019900873303413,32.03428649902344,0.8867576718330383
liver_101,liver_101.nii.gz,64,0,2557899216,0.6586418151855469,0.0007575312629342079,0.008402690291404724,41.51163101196289,0.9107668399810791,4.1976019882206117e-10,1.0000077281802078e-06,119.99993133544922,0.9160444140434265,0.002219167537987232,0.01438179798424244,36.84373474121094,0.9005842208862305
liver_101,liver_101.nii.gz,64,1,3639168384,0.6610841751098633,0.0005964194424450397,0.007231493014842272,42.8154411315918,0.9121183156967163,4.2320133508688684e-10,1.00000761449337e-06,119.99993133544922,0.917261004447937,0.0017597856931388378,0.012421729043126106,38.11635971069336,0.9020878076553345
liver_101,liver_101.nii.gz,64,2,631795616,0.6716446876525879,0.0006897095590829849,0.007887342944741249,42.06138610839844,0.9112326502799988,4.0216904806378295e-10,1.0000072734328569e-06,119.99993133544922,0.91631019115448,0.0021004965528845787,0.01376444473862648,37.22482681274414,0.9008471369743347
liver_101,liver_101.nii.gz,64,3,4216539512,0.6511964797973633,0.0007075396715663373,0.008226249366998672,41.695960998535156,0.9112370014190674,4.1129760708358276e-10,1.0000073871196946e-06,119.99993133544922,0.9165759086608887,0.0020284755155444145,0.013928726315498352,37.12177276611328,0.9012698531150818
liver_101,liver_101.nii.gz,64,4,1090304894,0.6554899215698242,0.000997758936136961,0.010131102986633778,39.886863708496094,0.9079365134239197,3.8745770480907993e-10,1.0000070460591814e-06,119.99993896484375,0.9145891070365906,0.0028961668722331524,0.01726059429347515,35.25888442993164,0.8952789306640625
liver_101,liver_101.nii.gz,64,5,3289157426,0.6609044075012207,0.0008055773796513677,0.008855906315147877,41.05533981323242,0.9100437164306641,4.0059575101558664e-10,1.0000071597460192e-06,119.99993133544922,0.915960431098938,0.0023756639566272497,0.015207994729280472,36.35856246948242,0.8985123038291931
