case_id,path,slice_count,sampling_strategy,known_fraction,mae_all,rmse_all,psnr_all,ssim_all,mae_known,rmse_known,psnr_known,ssim_known,mae_missing,rmse_missing,psnr_missing,ssim_missing
liver_60,liver_60.nii.gz,8,fibonacci,0.13614368438720703,0.001933548366650939,0.0196518637239933,34.13192367553711,0.8876943588256836,1.2147373384951976e-11,1.0000001111620804e-06,120.0,0.8981606364250183,0.002238275483250618,0.021143797785043716,33.496337890625,0.8860450387001038
liver_60,liver_60.nii.gz,16,fibonacci,0.2549881935119629,0.0009703958639875054,0.01211517583578825,38.333404541015625,0.8973995447158813,2.301881948940654e-11,1.0000003385357559e-06,120.0,0.9033137559890747,0.0013025241205468774,0.014036154374480247,37.05503845214844,0.8953754901885986
liver_60,liver_60.nii.gz,32,fibonacci,0.4305229187011719,0.0004429820692166686,0.007111833430826664,42.960365295410156,0.9028565287590027,7.252801831336697e-11,1.00000113434362e-06,119.99999237060547,0.9067474007606506,0.0007778750732541084,0.009424176998436451,40.515132904052734,0.899915337562561
liver_60,liver_60.nii.gz,64,fibonacci,0.6711230278015137,0.00010194283095188439,0.0031732895877212286,49.96980667114258,0.9057128429412842,1.5821258192438847e-10,1.0000029533330235e-06,119.99996948242188,0.907837450504303,0.000309972238028422,0.005533411167562008,45.14014434814453,0.9013777375221252
liver_60,liver_60.nii.gz,128,fibonacci,0.8838033676147461,3.631776780821383e-05,0.002088456181809306,53.603492736816406,0.9060375690460205,2.020794503954093e-10,1.000003521767212e-06,119.99996948242188,0.9067180156707764,0.00031255290377885103,0.006126727443188429,44.255428314208984,0.9008627533912659
liver_101,liver_101.nii.gz,4,fibonacci,0.0728449821472168,0.012910295277833939,0.05872691422700882,24.62325668334961,0.8151388168334961,7.803340222253818e-13,9.999999974752427e-07,120.0,0.8644381761550903,0.013924635015428066,0.060990333557128906,24.29477882385254,0.8112654685974121
liver_101,liver_101.nii.gz,8,fibonacci,0.13776302337646484,0.0069455113261938095,0.03650520369410515,28.75290298461914,0.848720908164978,1.6169444255753618e-11,1.0000002248489182e-06,120.0,0.8790194988250732,0.008055223152041435,0.03931347653269768,28.10917091369629,0.8438800573348999
liver_101,liver_101.nii.gz,16,fibonacci,0.2578701972961426,0.003932666964828968,0.024092163890600204,32.362483978271484,0.8794001340866089,4.6856966223751684e-11,1.000000679596269e-06,119.99999237060547,0.8952013850212097,0.0052991630509495735,0.02796635590493679,31.067283630371094,0.8739097118377686
liver_101,liver_101.nii.gz,32,fibonacci,0.4326138496398926,0.0019271534401923418,0.014382586814463139,36.843257904052734,0.9000431299209595,1.5417886412016912e-10,1.0000024985856726e-06,119.99998474121094,0.9099547863006592,0.0033965464681386948,0.019094031304121017,34.382049560546875,0.8924859166145325
liver_101,liver_101.nii.gz,64,fibonacci,0.6755166053771973,0.0006438946584239602,0.007766703609377146,42.19526672363281,0.9118858575820923,3.834188799789473e-10,1.000006818685506e-06,119.99993896484375,0.9165520071983337,0.001984367845579982,0.013634540140628815,37.30718994140625,0.9021723866462708
liver_101,liver_101.nii.gz,128,fibonacci,0.8874263763427734,0.00010962617670884356,0.0031388758216053247,50.06451416015625,0.9156813621520996,6.18884332670433e-10,1.0000102292906377e-06,119.99991607666016,0.917359471321106,0.000973812653683126,0.009355258196592331,40.57888412475586,0.902453601360321
liver_23,liver_23.nii.gz,4,fibonacci,0.07312631607055664,0.004887618590146303,0.029965166002511978,30.46766471862793,0.864236056804657,1.1659978538247628e-12,9.999999974752427e-07,120.0,0.8828151226043701,0.0052732303738594055,0.031124789267778397,30.13787269592285,0.8627703189849854
liver_23,liver_23.nii.gz,8,fibonacci,0.13724374771118164,0.0030661579221487045,0.022763846442103386,32.85508728027344,0.8810259103775024,1.8301514817520292e-11,1.0000002248489182e-06,120.0,0.8950855731964111,0.0035539097152650356,0.024507645517587662,32.213966369628906,0.8787894248962402
liver_23,liver_23.nii.gz,16,fibonacci,0.25705718994140625,0.0016238868702203035,0.01377830095589161,37.216087341308594,0.8961220979690552,4.363911662585984e-11,1.000000679596269e-06,119.99999237060547,0.90432208776474,0.002185749588534236,0.015985196456313133,35.92564010620117,0.8932850956916809
liver_23,liver_23.nii.gz,32,fibonacci,0.4320797920227051,0.0008075785590335727,0.009143922477960587,40.77735137939453,0.9040833115577698,1.3728641834465094e-10,1.0000021575251594e-06,119.99998474121094,0.91050124168396,0.0014219928998500109,0.012133577838540077,38.320220947265625,0.8992006778717041
liver_23,liver_23.nii.gz,64,fibonacci,0.6744980812072754,0.00019919208716601133,0.004048516508191824,47.85408020019531,0.9095789790153503,2.8791358186452953e-10,1.0000049996961025e-06,119.99995422363281,0.9130334258079529,0.0006119530298747122,0.007096089888364077,42.979618072509766,0.9024209976196289
